ID,Play Frequency,Time Since Played,Latency,Infractions,Skill Level,Role
Player 4,13,7,9,1,27,2
Player 8,6,14,105,5,41,1
Player 4,13,7,9,1,27,2
Player 2,19,20,37,3,26,3
Player 10,1,7,163,2,53,0
Player 2,19,20,37,3,26,3
Player 9,22,6,138,3,49,1
Player 9,22,6,138,3,49,1
Player 7,3,1,86,5,77,0
Player 8,6,14,105,5,41,1
Player 5,4,1,69,4,27,2
Player 8,6,14,105,5,41,1
Player 7,3,1,86,5,77,0
Player 7,3,1,86,5,77,0
Player 4,13,7,9,1,27,2
Player 7,3,1,86,5,77,0
Player 4,13,7,9,1,27,2
Player 1,24,3,67,3,98,0
Player 7,3,1,86,5,77,0
Player 4,13,7,9,1,27,2
Player 9,22,6,138,3,49,1
Player 2,19,20,37,3,26,3
Player 5,4,1,69,4,27,2
Player 2,19,20,37,3,26,3
Player 3,9,8,121,0,25,1
Player 4,13,7,9,1,27,2
Player 7,3,1,86,5,77,0
Player 10,1,7,163,2,53,0
Player 5,4,1,69,4,27,2
Player 8,6,14,105,5,41,1
Player 10,1,7,163,2,53,0
Player 10,1,7,163,2,53,0
Player 7,3,1,86,5,77,0
Player 10,1,7,163,2,53,0
Player 7,3,1,86,5,77,0
Player 1,24,3,67,3,98,0
Player 4,13,7,9,1,27,2
Player 2,19,20,37,3,26,3
Player 4,13,7,9,1,27,2
Player 8,6,14,105,5,41,1
Player 8,6,14,105,5,41,1
Player 7,3,1,86,5,77,0
Player 4,13,7,9,1,27,2
Player 2,19,20,37,3,26,3
Player 2,19,20,37,3,26,3
Player 8,6,14,105,5,41,1
Player 4,13,7,9,1,27,2
Player 7,3,1,86,5,77,0
Player 6,14,12,34,3,84,2
Player 1,24,3,67,3,98,0
